key,type,encoding,value
SPN3558,data,string,AETC Data Collection Standard
SPN3559,data,string,Number of AETC data points
SPN3560,data,string,AETC Speed Value
SPN3561,data,string,AETC Torque value
SPN3562,data,string,Engine Intake Manifold #2 Pressure
SPN3563,data,string,Engine Intake Manifold #1 Absolute Pressure
SPN3564,data,string,Lane Departure Warning Enable Command
SPN3565,data,string,Lane Departure Left
SPN3566,data,string,Lane Departure Right
SPN3567,data,string,Generator Control Not In Automatic Start State
SPN3568,data,string,Generator Not Ready to Automatically Parallel State
SPN3569,data,string,Generator Neutral Earth Fault
SPN3570,data,string,Generator Load Neutral Earth Leakage
SPN3571,data,string,Generator Circuit Breaker Opening Time
SPN3572,data,string,Generator Circuit Breaker Closing Time
SPN3573,data,string,Utility Circuit Breaker Opening Time
SPN3574,data,string,Utility Circuit Breaker Closing Time
SPN3575,data,string,Utility to Generator Transfer Time
SPN3576,data,string,Generator to Utility Transfer Time
SPN3577,data,string,Loss of Electric Utility Grid
SPN3578,data,string,Generator to Bus Synchronization Time
SPN3579,data,string,Generator to Bus Phase Sequence Mismatch
SPN3580,data,string,Generator Soft Unload Time
SPN3581,data,string,Modbus Data Link
SPN3582,data,string,Utility Power Supply
SPN3583,data,string,Common AC Auxiliaries Breaker
SPN3584,data,string,Fire Detected
SPN3585,data,string,Engine Emergency Shutdown Switch
SPN3587,data,string,Ether Hold Control
SPN3588,data,string,Ether Start Control
SPN3589,data,string,Engine Oil Priming Pump Control
SPN3590,data,string,Generator Total Percent kW
SPN3591,data,string,Generator Total Percent kVA
SPN3592,data,string,Generator Total Percent kVAr
SPN3593,data,string,Generator Total kVAr Hours Export
SPN3594,data,string,Generator Total kVAr Hours Import
SPN3595,data,string,Utility Total kVAr Hours Export
SPN3596,data,string,Utility Total kVAr Hours Import
SPN3597,data,string,ECU Power Output Supply Voltage #1
SPN3598,data,string,ECU Power Output Supply Voltage #2
SPN3599,data,string,ECU Power Output Supply Voltage #3
SPN3600,data,string,Steering Straight Ahead  Reset
SPN3601,data,string,Engine Fuel Shutoff Valve Leak Test Control
SPN3602,data,string,Engine Oil Pre  heater Control
SPN3603,data,string,Engine Electrical System Power Conservation Control
SPN3604,data,string,Engine Pre  Heater Control
SPN3605,data,string,Engine Coolant Pump Control
SPN3606,data,string,Engine Controlled Shutdown Request
SPN3607,data,string,Engine Emergency (Immediate) Shutdown Indication
SPN3608,data,string,Engine Fuel Shutoff Vent Control
SPN3609,data,string,Aftertreatment 1 Diesel Particulate Filter Intake Pressure
SPN3610,data,string,Aftertreatment 1 Diesel Particulate Filter Outlet Pressure
SPN3611,data,string,Aftertreatment 2 Diesel Particulate Filter Intake Pressure
SPN3612,data,string,Aftertreatment 2 Diesel Particulate Filter Outlet Pressure
SPN3613,data,string,Text Display Instructions
SPN3614,data,string,Text Display Index
SPN3615,data,string,Text Display Character
SPN3618,data,string,SAE J2012 DTC Presence
SPN3619,data,string,Number of J2012 DTCs
SPN3620,data,string,J2012 DTC
SPN3621,data,string,J2012 DTC Status
SPN3622,data,string,J2012 DTC Occurrence Count
SPN3623,data,string,Vehicle Roll
SPN3624,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #1
SPN3625,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #2
SPN3626,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #3
SPN3627,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #4
SPN3628,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #5
SPN3629,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #6
SPN3630,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #7
SPN3631,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #8
SPN3632,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #9
SPN3633,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #10
SPN3634,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #11
SPN3635,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #12
SPN3636,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #13
SPN3637,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #14
SPN3638,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #15
SPN3639,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #16
SPN3640,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #17
SPN3641,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #18
SPN3642,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #19
SPN3643,data,string,Engine Intake Valve Actuation Oil Pressure for Cylinder #20
SPN3644,data,string,Engine Derate Request
SPN3645,data,string,Transfer case status
SPN3646,data,string,Transmission Park Selector
SPN3647,data,string,Transmission Reverse Selector
SPN3648,data,string,Transmission Neutral Selector
SPN3649,data,string,Transmission Drive Selector
SPN3650,data,string,Transmission Low Selector
SPN3651,data,string,Transmission Primary Manual Selector
SPN3652,data,string,Transmission Primary Shift Up Selector
SPN3653,data,string,Transmission Primary Shift Down Selector
SPN3654,data,string,Transmission Secondary Manual Selector
SPN3655,data,string,Transmission Secondary Shift Up Selector
SPN3656,data,string,Transmission Secondary Shift Down Selector
SPN3657,data,string,Steering Wheel Mounted Shift Controls Decoder
SPN3658,data,string,Steering Wheel Mounted Shift Controls Input
SPN3659,data,string,Engine Fuel 1 Injector Cylinder 1 Actuator 2
SPN3660,data,string,Engine Fuel 1 Injector Cylinder 2 Actuator 2
SPN3661,data,string,Engine Fuel 1 Injector Cylinder 3 Actuator 2
SPN3662,data,string,Engine Fuel 1 Injector Cylinder 4 Actuator 2
SPN3663,data,string,Engine Fuel 1 Injector Cylinder 5 Actuator 2
SPN3664,data,string,Engine Fuel 1 Injector Cylinder 6 Actuator 2
SPN3665,data,string,Engine Fuel 1 Injector Cylinder 7 Actuator 2
SPN3666,data,string,Engine Fuel 1 Injector Cylinder 8 Actuator 2
SPN3667,data,string,Engine Air Shutoff Status
SPN3668,data,string,Engine Charge Air Cooler Coolant Level
SPN3669,data,string,Engine Rotation Direction
SPN3670,data,string,Maximum Crank Attempts per Start Attempt
SPN3671,data,string,Crank Attempt Count on Present Start Attempt
SPN3672,data,string,Engine Exhaust Gas Recirculation 1 Cooler Bypass Actuator 
SPN3673,data,string,Engine Throttle Valve 2 
SPN3675,data,string,Engine Turbocharger Compressor Bypass Actuator 1 
SPN3676,data,string,Engine Aftercooler Coolant Level
SPN3677,data,string,Generator Unavailable to Start / Run
SPN3678,data,string,EPS Unavailable to Accept Load
SPN3680,data,string,Transmission Master Valve
SPN3681,data,string,Power Conversion Enable Signal
SPN3682,data,string,Transmission Air Pressure Regulator Valve
SPN3683,data,string,Steering Wheel Angle
SPN3684,data,string,Steering Wheel Angle Range Counter
SPN3685,data,string,Steering Wheel Angle Range Counter Type
SPN3686,data,string,Steering Wheel Angle Range
SPN3687,data,string,Steering Angle Sensor Active Mode
SPN3688,data,string,Steering Angle Sensor Calibrated
SPN3689,data,string,Message Counter
SPN3690,data,string,Message Checksum
SPN3691,data,string,Left Headlamp Dynamic Bending Light
SPN3692,data,string,Right Headlamp Dynamic Bending Light
SPN3693,data,string,Left Headlamp Light Distribution
SPN3694,data,string,Right Headlamp Light Distribution
SPN3695,data,string,Aftertreatment Regeneration Inhibit Switch
SPN3696,data,string,Aftertreatment Regeneration Force Switch
SPN3697,data,string,Diesel Particulate Filter Lamp Command
SPN3698,data,string,Exhaust System High Temperature Lamp Command
SPN3699,data,string,Aftertreatment Diesel Particulate Filter Passive Regeneration Status
SPN3700,data,string,Aftertreatment Diesel Particulate Filter Active Regeneration Status
SPN3701,data,string,Aftertreatment Diesel Particulate Filter Status
SPN3702,data,string,Diesel Particulate Filter Active Regeneration Inhibited Status
SPN3703,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to Inhibit Switch
SPN3704,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to Clutch Disengaged
SPN3705,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to Service Brake Active
SPN3706,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to PTO Active
SPN3707,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to Accelerator Pedal Off Idle
SPN3708,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to Out of Neutral
SPN3709,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to Vehicle Speed Above Allowed Speed
SPN3710,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to Parking Brake Not Set
SPN3711,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to Low Exhaust Temperature
SPN3712,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to System Fault Active
SPN3713,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to System Timeout
SPN3714,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to Temporary System Lockout
SPN3715,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to Permanent System Lockout
SPN3716,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to Engine Not Warmed Up
SPN3717,data,string,Diesel Particulate Filter Active Regeneration Inhibited Due to Vehicle Speed Below Allowed Speed
SPN3718,data,string,Diesel Particulate Filter Automatic Active Regeneration Initiation Configuration
SPN3719,data,string,Aftertreatment 1 Diesel Particulate Filter Soot Load Percent
SPN3720,data,string,Aftertreatment 1 Diesel Particulate Filter Ash Load Percent
SPN3721,data,string,Aftertreatment 1 Diesel Particulate Filter Time Since Last Active Regeneration
SPN3722,data,string,Aftertreatment 2 Diesel Particulate Filter Soot Load Percent
SPN3723,data,string,Aftertreatment 2 Diesel Particulate Filter Ash Load Percent
SPN3724,data,string,Aftertreatment 2 Diesel Particulate Filter Time Since Last Active Regeneration
SPN3725,data,string,Aftertreatment 1 Diesel Particulate Filter Total Passive Regeneration Time
SPN3726,data,string,Aftertreatment 1 Diesel Particulate Filter Total Number of Passive Regenerations
SPN3727,data,string,Aftertreatment 1 Diesel Particulate Filter Total Number of Active Regeneration Inhibit Requests
SPN3728,data,string,Aftertreatment 1 Diesel Particulate Filter Total Number of Active Regeneration Manual Requests
SPN3729,data,string,Aftertreatment 2 Diesel Particulate Filter Total Passive Regeneration Time
SPN3730,data,string,Aftertreatment 2 Diesel Particulate Filter Total Number of Passive Regenerations
SPN3731,data,string,Aftertreatment 2 Diesel Particulate Filter Total Number of Active Regeneration Inhibit Requests
SPN3732,data,string,Aftertreatment 2 Diesel Particulate Filter Total Number of Active Regeneration Manual Requests
SPN3733,data,string,Aftertreatment 1 Diesel Particulate Filter Trip Fuel Used
SPN3734,data,string,Aftertreatment 1 Diesel Particulate Filter Trip Active Regeneration Time
SPN3735,data,string,Aftertreatment 1 Diesel Particulate Filter Trip Disabled Time
SPN3736,data,string,Aftertreatment 1 Diesel Particulate Filter Trip Number of Active Regenerations
SPN3737,data,string,Aftertreatment 1 Diesel Particulate Filter Trip Passive Regeneration Time
SPN3738,data,string,Aftertreatment 1 Diesel Particulate Filter Trip Number of Passive Regenerations
SPN3739,data,string,Aftertreatment 1 Diesel Particulate Filter Trip Number of Active Regeneration Inhibit Requests
SPN3740,data,string,Aftertreatment 1 Diesel Particulate Filter Trip Number of Active Regeneration Manual Requests
SPN3741,data,string,Aftertreatment 2 Diesel Particulate Filter Trip Fuel Used
SPN3742,data,string,Aftertreatment 2 Diesel Particulate Filter Trip Active Regeneration Time
SPN3743,data,string,Aftertreatment 2 Diesel Particulate Filter Trip Disabled Time
SPN3744,data,string,Aftertreatment 2 Diesel Particulate Filter Trip Number of Active Regenerations
SPN3745,data,string,Aftertreatment 2 Diesel Particulate Filter Trip Passive Regeneration Time
SPN3746,data,string,Aftertreatment 2 Diesel Particulate Filter Trip Number of Passive Regenerations
SPN3747,data,string,Aftertreatment 2 Diesel Particulate Filter Trip Number of Active Regeneration Inhibit Requests
SPN3748,data,string,Aftertreatment 2 Diesel Particulate Filter Trip Number of Active Regeneration Manual Requests
SPN3749,data,string,Engine Overcooled
SPN3750,data,string,Aftertreatment 1 Diesel Particulate Filter Conditions Not Met for Active Regeneration
SPN3751,data,string,Aftertreatment 2 Diesel Particulate Filter Conditions Not Met for Active Regeneration
SPN3752,data,string,Wrapping Arm Fast Speed Rotation Actuator
SPN3753,data,string,Wrapping Arm Reverse Rotation Actuator
SPN3754,data,string,Wrapping Arm Regular Speed Rotation Actuator
SPN3755,data,string,Bale Rotational Speed
SPN3756,data,string,Wrapper Knife Close Actuator
SPN3757,data,string,Wrapper Knife Open Actuator
SPN3758,data,string,Baler Gate Actuator
SPN3759,data,string,Transfer Table Backward Actuator
SPN3760,data,string,Transfer Table Forward Actuator
SPN3761,data,string,Precutter Reverser Actuator
SPN3762,data,string,Precutter Knives Actuator
SPN3763,data,string,Baler Pickup Actuator
SPN3764,data,string,Baler Net Actuator Mode
SPN3765,data,string,Baler Net Actuator
SPN3783,data,string,Intake Manifold Charge Combustion
SPN3785,data,string,Tractor Brake Stroke Axle 1 Left
SPN3786,data,string,Tractor Brake Stroke Axle 1 Right
SPN3787,data,string,Tractor Brake Stroke Axle 2 Left
SPN3788,data,string,Tractor Brake Stroke Axle 2 Right
SPN3789,data,string,Tractor Brake Stroke Axle 3 Left
SPN3790,data,string,Tractor Brake Stroke Axle 3 Right
SPN3791,data,string,Tractor Brake Stroke Axle 4 Left
SPN3792,data,string,Tractor Brake Stroke Axle 4 Right
SPN3793,data,string,Tractor Brake Stroke Axle 5 Left
SPN3794,data,string,Tractor Brake Stroke Axle 5 Right
SPN3795,data,string,Trailer Brake Stroke Axle 1 Left
SPN3796,data,string,Trailer Brake Stroke Axle 1 Right
SPN3797,data,string,Trailer Brake Stroke Axle 2 Left
SPN3798,data,string,Trailer Brake Stroke Axle 2 Right
SPN3799,data,string,Trailer Brake Stroke Axle 3 Left
SPN3800,data,string,Trailer Brake Stroke Axle 3 Right
SPN3801,data,string,Trailer Brake Stroke Axle 4 Left
SPN3802,data,string,Trailer Brake Stroke Axle 4 Right
SPN3803,data,string,Trailer Brake Stroke Axle 5 Left
SPN3804,data,string,Trailer Brake Stroke Axle 5 Right
SPN3805,data,string,Tractor Brake Stroke Alert Monitor
SPN3806,data,string,Trailer Brake Stroke Alert Monitor
SPN3807,data,string,Park Brake Release Inhibit Request
SPN3808,data,string,Park Brake Release Inhibit Status
SPN3809,data,string,Transmission Oil Level Request
SPN3810,data,string,Retract Status of ramp 1
SPN3811,data,string,Enable status of ramp 1
SPN3812,data,string,Movement status of ramp 1
SPN3813,data,string,Retract Status of ramp 2
SPN3814,data,string,Enable status of ramp 2
SPN3815,data,string,Movement status of ramp 2
SPN3816,data,string,Retract Status of ramp 3
SPN3817,data,string,Enable status of ramp 3
SPN3818,data,string,Movement status of ramp 3
SPN3819,data,string,Front axle group engagement status
SPN3820,data,string,Rear axle group engagement status
SPN3821,data,string,Engine Exhaust Gas Recirculation 1 Valve 2 Control
SPN3822,data,string,Engine Exhaust Gas Recirculation 1 Valve 2 
SPN3823,data,string,Transmission Torque Converter Oil Outlet Temperature
SPN3824,data,string,Transmission Gear Latch Actuator
SPN3825,data,string,Transmission Output Speed 2
SPN3826,data,string,Aftertreatment 1 Diesel Exhaust Fluid Average Consumption
SPN3828,data,string,Aftertreatment 1 SCR Commanded Diesel Exhaust Fluid Consumption
SPN3829,data,string,EPS Supplying Load
SPN3830,data,string,Aftertreatment 1 Secondary Air Differential Pressure
SPN3831,data,string,Aftertreatment 1 Secondary Air Temperature
SPN3832,data,string,Aftertreatment 1 Secondary Air Mass Flow Rate
SPN3833,data,string,Aftertreatment 2 Secondary Air Differential Pressure
SPN3834,data,string,Aftertreatment 2 Secondary Air Temperature
SPN3835,data,string,Aftertreatment 2 Secondary Air Mass Flow Rate
SPN3837,data,string,Aftertreatment 1 Secondary Air Pressure
SPN3838,data,string,Aftertreatment 2 Secondary Air Pressure
SPN3839,data,string,Brake Temperature Warning
SPN3840,data,string,Auxiliary I/O #17
SPN3841,data,string,Auxiliary I/O #18
SPN3842,data,string,Auxiliary I/O #19
SPN3843,data,string,Auxiliary I/O #20
SPN3844,data,string,Auxiliary I/O #21
SPN3845,data,string,Auxiliary I/O #22
SPN3846,data,string,Auxiliary I/O #23
SPN3847,data,string,Auxiliary I/O #24
SPN3848,data,string,Auxiliary I/O #25
SPN3849,data,string,Auxiliary I/O #26
SPN3850,data,string,Auxiliary I/O #27
SPN3851,data,string,Auxiliary I/O #28
SPN3852,data,string,Auxiliary I/O #29
SPN3853,data,string,Auxiliary I/O #30
SPN3854,data,string,Auxiliary I/O #31
SPN3855,data,string,Auxiliary I/O #32
SPN3856,data,string,Auxiliary I/O #33
SPN3857,data,string,Auxiliary I/O #34
SPN3858,data,string,Auxiliary I/O #35
SPN3859,data,string,Auxiliary I/O #36
SPN3860,data,string,Auxiliary I/O #37
SPN3861,data,string,Auxiliary I/O #38
SPN3862,data,string,Auxiliary I/O #39
SPN3863,data,string,Auxiliary I/O #40
SPN3864,data,string,Auxiliary I/O #41
SPN3865,data,string,Auxiliary I/O #42
SPN3866,data,string,Auxiliary I/O #43
SPN3867,data,string,Auxiliary I/O #44
SPN3868,data,string,Auxiliary I/O #45
SPN3869,data,string,Auxiliary I/O #46
SPN3870,data,string,Auxiliary I/O #47
SPN3871,data,string,Auxiliary I/O #48
SPN3872,data,string,Auxiliary I/O #49
SPN3873,data,string,Auxiliary I/O #50
SPN3874,data,string,Auxiliary I/O #51
SPN3875,data,string,Auxiliary I/O #52
SPN3876,data,string,Auxiliary I/O #53
SPN3877,data,string,Auxiliary I/O #54
SPN3878,data,string,Auxiliary I/O #55
SPN3879,data,string,Auxiliary I/O #56
SPN3880,data,string,Auxiliary I/O #57
SPN3881,data,string,Auxiliary I/O #58
SPN3882,data,string,Auxiliary I/O #59
SPN3883,data,string,Auxiliary I/O #60
SPN3884,data,string,Auxiliary I/O #61
SPN3885,data,string,Auxiliary I/O #62
SPN3886,data,string,Auxiliary I/O #63
SPN3887,data,string,Auxiliary I/O #64
SPN3888,data,string,Auxiliary I/O #65
SPN3889,data,string,Auxiliary I/O #66
SPN3890,data,string,Auxiliary I/O #67
SPN3891,data,string,Auxiliary I/O #68
SPN3892,data,string,Auxiliary I/O #69
SPN3893,data,string,Auxiliary I/O #70
SPN3894,data,string,Auxiliary I/O #71
SPN3895,data,string,Auxiliary I/O #72
SPN3896,data,string,Auxiliary I/O #73
SPN3897,data,string,Auxiliary I/O #74
SPN3898,data,string,Auxiliary I/O #75
SPN3899,data,string,Auxiliary I/O #76
SPN3900,data,string,Auxiliary I/O #77
SPN3901,data,string,Auxiliary I/O #78
SPN3902,data,string,Auxiliary I/O #79
SPN3903,data,string,Auxiliary I/O #80
SPN3904,data,string,Auxiliary I/O #81
SPN3905,data,string,Auxiliary I/O #82
SPN3906,data,string,Auxiliary I/O #83
SPN3907,data,string,Auxiliary I/O #84
SPN3908,data,string,Auxiliary I/O #85
SPN3909,data,string,Auxiliary I/O #86
SPN3910,data,string,Auxiliary I/O #87
SPN3911,data,string,Auxiliary I/O #88
SPN3912,data,string,Auxiliary I/O #89
SPN3913,data,string,Auxiliary I/O #90
SPN3914,data,string,Auxiliary I/O #91
SPN3915,data,string,Auxiliary I/O #92
SPN3916,data,string,Auxiliary I/O #93
SPN3917,data,string,Auxiliary I/O #94
SPN3918,data,string,Auxiliary I/O #95
SPN3919,data,string,Auxiliary I/O #96
SPN3920,data,string,Auxiliary I/O #97
SPN3921,data,string,Auxiliary I/O #98
SPN3922,data,string,Auxiliary I/O #99
SPN3923,data,string,Auxiliary I/O #100
SPN3924,data,string,Auxiliary I/O #101
SPN3925,data,string,Auxiliary I/O #102
SPN3926,data,string,Auxiliary I/O #103
SPN3927,data,string,Auxiliary I/O #104
SPN3928,data,string,Auxiliary I/O #105
SPN3929,data,string,Auxiliary I/O #106
SPN3930,data,string,Auxiliary I/O #107
SPN3931,data,string,Auxiliary I/O #108
SPN3932,data,string,Auxiliary I/O #109
SPN3933,data,string,Auxiliary I/O #110
SPN3934,data,string,Auxiliary I/O #111
SPN3935,data,string,Auxiliary I/O #112
SPN3936,data,string,Aftertreatment Diesel Particulate Filter System
SPN3938,data,string,Generator Governing Bias
SPN3939,data,string,Enable Switch    PTO Engine Flywheel
SPN3940,data,string,Engagement Consent    PTO Engine Flywheel
SPN3941,data,string,Engagement Status    PTO Engine Flywheel
SPN3942,data,string,Enable Switch    PTO Engine Accessory Drive 1
SPN3943,data,string,Engagement Consent    PTO Engine Accessory Drive 1
SPN3944,data,string,Engagement Status    PTO Engine Accessory Drive 1
SPN3945,data,string,Enable Switch    PTO Engine Accessory Drive 2
SPN3946,data,string,Engagement Consent    PTO Engine Accessory Drive 2
SPN3947,data,string,Engagement Status    PTO Engine Accessory Drive 2
SPN3948,data,string,At least one PTO engaged
SPN3949,data,string,AC Power Voltage, 120V, 60 Hz
SPN3950,data,string,Air Horn
SPN3951,data,string,Air Horn Switch
SPN3952,data,string,Air Shield Light
SPN3953,data,string,Auxiliary Gauge Package
SPN3954,data,string,Auxiliary Gauge Package Gauge 1
SPN3955,data,string,Auxiliary Gauge Package Gauge 2
SPN3956,data,string,Auxiliary Gauge Package Gauge 3
SPN3957,data,string,Auxiliary Transmission Constant Supply Actuator
SPN3958,data,string,Auxiliary Transmission High Range Actuator
SPN3959,data,string,Auxiliary Transmission Neutral Actuator
SPN3960,data,string,Auxiliary Transmission Range Switch
SPN3961,data,string,Body Equipment Hydraulic Power Auxiliary Pump Inhibit Switch
SPN3962,data,string,Bus Amber Signal Light 1
SPN3963,data,string,Bus Amber Signal Light 2
SPN3964,data,string,Bus Amber Signal Light 3
SPN3965,data,string,Bus Amber Signal Light 4
SPN3966,data,string,Bus Crossing Gate
SPN3967,data,string,Bus Passenger Door Close Relay
SPN3968,data,string,Bus Passenger Door Control Switch 1
SPN3969,data,string,Bus Passenger Door Control Switch 2
SPN3970,data,string,Bus Passenger Door Open Relay
SPN3971,data,string,Bus Red Signal Light 1
SPN3972,data,string,Bus Red Signal Light 2
SPN3973,data,string,Bus Red Signal Light 3
SPN3974,data,string,Bus Red Signal Light 4
SPN3975,data,string,Bus Stop Arm
SPN3976,data,string,Cab Dome Light 1
SPN3977,data,string,Cab Dome Light 2
SPN3978,data,string,Cab Dome Light 2 Switch
SPN3979,data,string,Cab Floor Light
SPN3980,data,string,Cab Floor Light Switch
SPN3981,data,string,Cab HVAC Mode Control Actuator
SPN3982,data,string,Cab HVAC Rear Blower Speed Control Switch
SPN3983,data,string,Cab HVAC Rear Temperature Control Switch
SPN3984,data,string,Cab HVAC Recirculation Door Control Actuator
SPN3985,data,string,Cab HVAC System Controller
SPN3986,data,string,CAB HVAC Temperature Control Actuator
SPN3987,data,string,Compression Brake Enable Switch Indicator Lamp Command
SPN3988,data,string,Door 1 Control Module
SPN3989,data,string,Door 1 Window Motor
SPN3990,data,string,Door 2 Control Module
SPN3991,data,string,Door 2 Window Motor
SPN3992,data,string,Door 3 Control Module
SPN3993,data,string,Door 3 Window Motor
SPN3994,data,string,Door 4 Control Module
SPN3995,data,string,Door 4 Window Motor
SPN3996,data,string,Electrical Accessory Power
SPN3997,data,string,Electrical Accessory Power Relay
SPN3998,data,string,Electrical Load Shed OFF
SPN3999,data,string,Electrical Load Shed ON
SPN4000,data,string,Engine Exhaust Brake Enable Switch
SPN4001,data,string,Engine Exhaust Brake Enable Switch Indicator
SPN4002,data,string,Engine Remote Start
SPN4003,data,string,Engine Remote Stop
SPN4004,data,string,Exterior Lamp Check Switch
SPN4005,data,string,Fifth Wheel Lock Actuator
SPN4006,data,string,Fifth Wheel Slider Lock Actuator
SPN4007,data,string,Fifth Wheel Slider Lock Switch
SPN4008,data,string,Fog Light 2
SPN4009,data,string,Fuel Filter Fuel Heater Relay
SPN4010,data,string,Fuel Tank Transfer Pump
SPN4011,data,string,Headlamp 1 High Beam
SPN4012,data,string,Headlamp 2 High Beam
SPN4013,data,string,Headlight Interrupt Switch
SPN4014,data,string,High Current Auxiliary Load Switch 1
SPN4015,data,string,High Current Auxiliary Load Switch 2
SPN4016,data,string,High Current Auxiliary Power Relay 1
SPN4017,data,string,High Current Auxiliary Power Relay 2
SPN4018,data,string,Lift Axle Lower Actuator
SPN4019,data,string,Lift Axle Lower Switch
SPN4020,data,string,Lift Axle Raise Actuator
SPN4021,data,string,Lift Axle Raise Switch
SPN4022,data,string,Lift Gate Power Control Enable
SPN4023,data,string,Lift Gate Power Control Switch
SPN4024,data,string,Marker Light Interrupt Switch
SPN4026,data,string,Mirror 2 Heater
SPN4027,data,string,Power Inverter Enable Switch
SPN4028,data,string,Service Brake Circuit 1 Air Tank Drain Valve
SPN4029,data,string,Service Brake Circuit 1 Air Tank Drain Valve Switch
SPN4030,data,string,Service Brake Circuit 2 Air Tank Drain Valve
SPN4031,data,string,Service Brake Supply Air Tank Drain Valve
SPN4032,data,string,Service Brake Supply Air Tank Drain Valve Switch
SPN4033,data,string,Engine Remote Start/Stop Enable
SPN4034,data,string,Snow Plow High Beam Light 1
SPN4035,data,string,Snow Plow High Beam Light 2
SPN4036,data,string,Snow Plow Low Beam Light 1
SPN4037,data,string,Snow Plow Low Beam Light 2
SPN4038,data,string,Snow Plow Forward Lighting Relay 2
SPN4039,data,string,Snow Plow Forward Lighting Relay 1
SPN4040,data,string,Snow Plow Lighting Mode Switch
SPN4041,data,string,Software Loop Time Exceeded
SPN4042,data,string,Trailer Auxiliary Power Switch
SPN4043,data,string,Transfer Case Front Driveline Actuator
SPN4044,data,string,Transfer Case High Range Actuator
SPN4045,data,string,Transfer Case Low Range Actuator
SPN4046,data,string,Transfer Case Neutral Actuator
SPN4047,data,string,Transfer Case Output Shaft PTO Actuator
SPN4048,data,string,Transfer Case Range Switch
SPN4049,data,string,Transfer Case Rear Driveline Actuator
SPN4050,data,string,Transmission Secondary Mode Switch
SPN4051,data,string,Transmission Input Shaft PTO 1 Actuator
SPN4052,data,string,Transmission Input Shaft PTO 1 Retention Actuator
SPN4053,data,string,Transmission Input Shaft PTO 2 Actuator
SPN4054,data,string,Transmission Input Shaft PTO 2 Retention Actuator
SPN4055,data,string,Transmission Retarder Enable Switch
SPN4056,data,string,Two Speed Axle Actuator
SPN4057,data,string,Wiper Motor
SPN4058,data,string,Cab Dome Light 1 Switch
SPN4059,data,string,Sole or Forward  most Steer Axle Group Weight Available
SPN4060,data,string,Lift Axle Group Weight Available
SPN4061,data,string,Sole or Forward  most Drive Axle Group Weight Available
SPN4062,data,string,Tag Axle Group Weight Available
SPN4063,data,string,Additional Tractor Axle Group Weight Available
SPN4064,data,string,Trailer A Axle Group Weight Available
SPN4065,data,string,Trailer B Axle Group Weight Available
SPN4066,data,string,Trailer C Axle Group Weight Available
SPN4067,data,string,Trailer D Axle Group Weight Available
SPN4068,data,string,Trailer E Axle Group Weight Available
SPN4069,data,string,Trailer F Axle Group Weight Available
SPN4070,data,string,Trailer G Axle Group Weight Available
SPN4071,data,string,Trailer H Axle Group Weight Available
SPN4072,data,string,Additional Trailer Axle Group Weight Available
SPN4073,data,string,Axle Group Location
SPN4074,data,string,Axle Group Location
SPN4075,data,string,Zero Net Vehicle Weight Change
SPN4076,data,string,Engine Coolant Temperature 2
SPN4077,data,string,Aftertreatment 1 Fuel Pressure 2
SPN4078,data,string,Generator Alternator Efficiency
SPN4079,data,string,Generator Governing Speed Command
SPN4080,data,string,Generator Frequency Selection
SPN4081,data,string,Engine Oil Recovery Pump
SPN4082,data,string,Fuel Pump Primer Control
SPN4083,data,string,Fuel Pump Primer Status
SPN4084,data,string,General Purpose Valve Spool
SPN4085,data,string,General Purpose Valve
SPN4086,data,string,Valve Load Sense Pressure
SPN4087,data,string,Valve Pilot Pressure
