key,type,encoding,value
SPN185,data,string,Engine Average Fuel Economy
SPN186,data,string,Power Takeoff Speed
SPN187,data,string,Power Takeoff Set Speed
SPN188,data,string,Engine Speed At Idle, Point 1
SPN189,data,string,Engine Rated Speed
SPN190,data,string,Engine Speed
SPN191,data,string,Transmission 1 Output Shaft Speed
SPN228,data,string,Speed Sensor Calibration
SPN229,data,string,Total Fuel Used (Gaseous) (duplicate, use SPN 1040)
SPN230,data,string,Total Idle Fuel Used (Gaseous) (duplicate, use SPN 1010)
SPN231,data,string,Trip Fuel (Gaseous) (duplicate, use SPN 1039)
SPN232,data,string,DGPS Differential Correction
SPN233,data,string,Unit Number (Power Unit)
SPN234,data,string,Software Identification
SPN235,data,string,Engine Total Idle Hours
SPN236,data,string,Engine Total Idle Fuel Used
SPN237,data,string,Vehicle Identification Number
SPN238,data,string,Velocity Vector
SPN241,data,string,Tire Pressure
SPN242,data,string,Tire Temperature
SPN244,data,string,Trip Distance
SPN245,data,string,Total Vehicle Distance
SPN246,data,string,Total Vehicle Hours
SPN247,data,string,Engine Total Hours of Operation
SPN248,data,string,Total Power Takeoff Hours
SPN249,data,string,Engine Total Revolutions
SPN250,data,string,Engine Total Fuel Used
SPN251,data,string,Time
SPN252,data,string,Date
SPN257,data,string,Cold Restart Of Specific Component
SPN258,data,string,Warm Restart Of Specific Component
SPN259,data,string,Acknowledgement Of Warm Or Cold Restart
SPN354,data,string,Relative Humidity
SPN355,data,string,Engine Oil Life Remaining
SPN378,data,string,Fare Collection Unit Status
SPN380,data,string,Articulation Angle
SPN383,data,string,Vehicle Acceleration
SPN407,data,string,Axle Group Full Weight Calibration
SPN408,data,string,Axle Group Empty Weight Calibration
SPN409,data,string,Axle Group Weight
SPN411,data,string,Engine Exhaust Gas Recirculation 1 Differential Pressure
SPN412,data,string,Engine Exhaust Gas Recirculation 1 Temperature
SPN413,data,string,Net Vehicle Weight Change
SPN417,data,string,Gross Combination Weight
SPN430,data,string,Engine Starter Solenoid Voltage
SPN441,data,string,Auxiliary Temperature 1
SPN442,data,string,Auxiliary Temperature 2
SPN443,data,string,Auxiliary Gage Pressure Reading 2
SPN444,data,string,Battery Potential / Power Input 2
SPN445,data,string,Engine Bank 2 Cylinder Head Temperature
SPN446,data,string,Engine Bank 1 Cylinder Head Temperature
SPN447,data,string,Passenger Counter
SPN501,data,string,Signage Message
SPN502,data,string,Fare Collection Unit    Point Of Sale
SPN503,data,string,Fare Collection Unit    Service Detail
SPN504,data,string,Annunciator Voice Message
SPN505,data,string,Vehicle Control Head Keyboard Message
SPN506,data,string,Vehicle Control Head Display Message
SPN507,data,string,Driver Identification
SPN508,data,string,Transit Route Identification
SPN509,data,string,Milepost Identification
SPN512,data,string,Driver’s Demand Engine    Percent Torque
SPN513,data,string,Actual Engine    Percent Torque
SPN514,data,string,Nominal Friction    Percent Torque
SPN515,data,string,Engine’s Desired Operating Speed
SPN516,data,string,Ground  Based Vehicle Speed
SPN517,data,string,Navigation  Based Vehicle Speed
SPN518,data,string,Engine Requested Torque/Torque Limit
SPN519,data,string,Engine’s Desired Operating Speed Asymmetry Adjustment
SPN520,data,string,Actual Retarder    Percent Torque
SPN521,data,string,Brake Pedal 
SPN522,data,string,Percent Clutch Slip
SPN523,data,string,Transmission Current Gear
SPN524,data,string,Transmission Selected Gear
SPN525,data,string,Transmission Requested Gear
